old,new,exists,referenced_files
入门,00_入门,True,110
数学基础,01_数学基础,True,187
机器学习,02_机器学习,True,164
深度学习,03_深度学习,True,259
计算机视觉,04_计算机视觉,True,142
大模型,05_大模型,True,551
强化学习,06_强化学习,True,141
模型训练,07_模型训练,True,280
模型评估,08_模型评估,True,192
测试,09_测试,True,410
部署推理,10_部署推理,True,384
模型运维,11_模型运维,True,243
架构基建,12_架构基建,True,452
运维,13_运维,True,447
RAG系统,14_RAG系统,True,229
智能体,15_智能体,True,417
编程,16_编程,True,153
伦理安全,17_伦理安全,True,186
行业应用,18_行业应用,True,360
业界观点,19_业界观点,True,140
论文精读,20_论文精读,True,375
面试岗位,21_面试岗位,True,140
学习,90_学习,True,253
可视化,94_可视化,True,26
00_入门/Fundamentals,00_入门/01_Fundamentals,True,34
00_入门/Technology_Overview,00_入门/02_Technology_Overview,True,7
00_入门/Learning_Path,00_入门/03_Learning_Path,True,11
00_入门/Ethics_and_Future,00_入门/04_Ethics_and_Future,True,32
01_数学基础/Math_Fundamentals,01_数学基础/01_Math_Fundamentals,True,5
01_数学基础/Linear_Algebra,01_数学基础/02_Linear_Algebra,True,33
01_数学基础/Probability_Statistics,01_数学基础/03_Probability_Statistics,True,49
01_数学基础/Information_Theory,01_数学基础/04_Information_Theory,True,13
01_数学基础/Numerical_Methods,01_数学基础/05_Numerical_Methods,True,6
01_数学基础/Game_Theory,01_数学基础/06_Game_Theory,True,3
01_数学基础/Data_Structures_Algorithms,01_数学基础/07_Data_Structures_Algorithms,True,16
01_数学基础/Python_Toolkit,01_数学基础/08_Python_Toolkit,True,1
01_数学基础/Distributed_Systems,01_数学基础/09_Distributed_Systems,True,14
01_数学基础/AI_Hardware,01_数学基础/10_AI_Hardware,True,46
01_数学基础/Java_Ecosystem_AI,01_数学基础/11_Java_Ecosystem_AI,True,19
02_机器学习/ML_Fundamentals,02_机器学习/01_ML_Fundamentals,True,7
02_机器学习/Supervised_Learning,02_机器学习/02_Supervised_Learning,True,38
02_机器学习/Unsupervised_Learning,02_机器学习/03_Unsupervised_Learning,True,21
02_机器学习/Ensemble_Learning,02_机器学习/04_Ensemble_Learning,True,21
02_机器学习/Feature_Engineering,02_机器学习/05_Feature_Engineering,True,30
02_机器学习/Bayesian_Methods,02_机器学习/06_Bayesian_Methods,True,7
02_机器学习/Causal_Inference,02_机器学习/07_Causal_Inference,True,6
02_机器学习/Anomaly_Detection,02_机器学习/08_Anomaly_Detection,True,16
02_机器学习/Time_Series,02_机器学习/09_Time_Series,True,10
02_机器学习/Recommendation_Systems,02_机器学习/10_Recommendation_Systems,True,10
02_机器学习/AutoML,02_机器学习/11_AutoML,True,12
02_机器学习/ML_Frameworks,02_机器学习/12_ML_Frameworks,True,6
03_深度学习/DL_Fundamentals,03_深度学习/01_DL_Fundamentals,True,14
03_深度学习/Neural_Network_Core,03_深度学习/02_Neural_Network_Core,True,64
03_深度学习/Optimization,03_深度学习/03_Optimization,True,53
03_深度学习/Generative_Models,03_深度学习/04_Generative_Models,True,14
03_深度学习/Graph_Neural_Networks,03_深度学习/05_Graph_Neural_Networks,True,7
03_深度学习/Self_Supervised_Learning,03_深度学习/06_Self_Supervised_Learning,True,18
03_深度学习/World_Models,03_深度学习/07_World_Models,True,21
03_深度学习/DL_Frameworks,03_深度学习/08_DL_Frameworks,True,18
04_计算机视觉/CV_Fundamentals,04_计算机视觉/01_CV_Fundamentals,True,14
04_计算机视觉/Image_Classification_Detection,04_计算机视觉/02_Image_Classification_Detection,True,26
04_计算机视觉/Segmentation,04_计算机视觉/03_Segmentation,True,20
04_计算机视觉/OCR_Text_Recognition,04_计算机视觉/04_OCR_Text_Recognition,True,7
04_计算机视觉/3D_Vision,04_计算机视觉/05_3D_Vision,True,13
04_计算机视觉/Generative_Models,04_计算机视觉/06_Generative_Models,True,36
04_计算机视觉/Video_Generation,04_计算机视觉/07_Video_Generation,True,24
04_计算机视觉/Multimodal_Vision,04_计算机视觉/08_Multimodal_Vision,True,32
05_大模型/LLM_Fundamentals,05_大模型/01_LLM_Fundamentals,True,5
05_大模型/Sequence_Models,05_大模型/02_Sequence_Models,True,34
05_大模型/Transformer,05_大模型/03_Transformer,True,6
05_大模型/Transformer_Revolution,05_大模型/04_Transformer_Revolution,True,57
05_大模型/LLM_Architectures,05_大模型/05_LLM_Architectures,True,133
05_大模型/LLM_Data_Engineering,05_大模型/06_LLM_Data_Engineering,True,16
05_大模型/Fine_tuning_Techniques,05_大模型/07_Fine_tuning_Techniques,True,122
05_大模型/Prompt_Engineering,05_大模型/08_Prompt_Engineering,True,92
05_大模型/Reasoning_Models,05_大模型/09_Reasoning_Models,True,49
05_大模型/Multimodal_Models,05_大模型/10_Multimodal_Models,True,75
05_大模型/Speech_Audio_AI,05_大模型/11_Speech_Audio_AI,True,7
05_大模型/Edge_LLM,05_大模型/12_Edge_LLM,True,23
05_大模型/LLM_Products,05_大模型/13_LLM_Products,True,21
05_大模型/Global_LLM_Ecosystem,05_大模型/14_Global_LLM_Ecosystem,True,40
05_大模型/Chinese_LLM_Ecosystem,05_大模型/15_Chinese_LLM_Ecosystem,True,61
06_强化学习/RL_Foundations,06_强化学习/01_RL_Foundations,True,31
06_强化学习/Deep_RL,06_强化学习/02_Deep_RL,True,46
06_强化学习/RLHF_Alignment,06_强化学习/03_RLHF_Alignment,True,14
06_强化学习/RL_Applications,06_强化学习/04_RL_Applications,True,6
06_强化学习/Robotics_Embodied_AI,06_强化学习/05_Robotics_Embodied_AI,True,22
07_模型训练/Training_Fundamentals,07_模型训练/01_Training_Fundamentals,True,19
07_模型训练/Data,07_模型训练/02_Data,True,17
07_模型训练/Optimization,07_模型训练/03_Optimization,True,50
07_模型训练/Distributed_Training,07_模型训练/04_Distributed_Training,True,80
07_模型训练/Compression,07_模型训练/05_Compression,True,13
07_模型训练/Alignment,07_模型训练/06_Alignment,True,34
07_模型训练/Monitoring,07_模型训练/07_Monitoring,True,29
08_模型评估/Evaluation_Fundamentals,08_模型评估/01_Evaluation_Fundamentals,True,35
08_模型评估/Benchmarks,08_模型评估/02_Benchmarks,True,35
08_模型评估/LLM_Evaluation,08_模型评估/03_LLM_Evaluation,True,6
08_模型评估/Evaluation_Tools,08_模型评估/04_Evaluation_Tools,True,25
08_模型评估/Automation,08_模型评估/05_Automation,True,9
09_测试/Testing_Fundamentals,09_测试/01_Testing_Fundamentals,True,23
09_测试/Testing_Frameworks,09_测试/02_Testing_Frameworks,True,27
10_部署推理/Deployment_Fundamentals,10_部署推理/01_Deployment_Fundamentals,True,56
10_部署推理/Inference_Engines,10_部署推理/02_Inference_Engines,True,136
10_部署推理/Inference_Optimization,10_部署推理/03_Inference_Optimization,True,9
10_部署推理/Inference_Performance,10_部署推理/04_Inference_Performance,True,52
10_部署推理/Quantization,10_部署推理/05_Quantization,True,36
10_部署推理/Caching,10_部署推理/06_Caching,True,36
10_部署推理/GPU_Infrastructure,10_部署推理/07_GPU_Infrastructure,True,9
10_部署推理/Hardware,10_部署推理/08_Hardware,True,13
11_模型运维/MLOps_Fundamentals,11_模型运维/01_MLOps_Fundamentals,True,30
11_模型运维/Data_Engineering,11_模型运维/02_Data_Engineering,True,15
11_模型运维/Feature_Store,11_模型运维/03_Feature_Store,True,10
11_模型运维/Experiment_Tracking,11_模型运维/04_Experiment_Tracking,True,32
11_模型运维/Orchestration,11_模型运维/05_Orchestration,True,36
11_模型运维/CI_CD,11_模型运维/06_CI_CD,True,27
11_模型运维/Model_Serving,11_模型运维/07_Model_Serving,True,8
11_模型运维/Observability,11_模型运维/08_Observability,True,54
11_模型运维/Cost,11_模型运维/09_Cost,True,12
11_模型运维/LLMOps,11_模型运维/10_LLMOps,True,7
11_模型运维/Prompt_Ops,11_模型运维/11_Prompt_Ops,True,10
11_模型运维/Troubleshooting,11_模型运维/12_Troubleshooting,True,12
12_架构基建/Architecture_Fundamentals,12_架构基建/01_Architecture_Fundamentals,True,8
12_架构基建/Architecture_Overview,12_架构基建/02_Architecture_Overview,True,67
12_架构基建/AI_Stack,12_架构基建/03_AI_Stack,True,26
12_架构基建/Kubernetes_Core,12_架构基建/04_Kubernetes_Core,True,3
12_架构基建/CNCF_Cloud_Native_AI,12_架构基建/05_CNCF_Cloud_Native_AI,True,26
12_架构基建/Cloud_Providers,12_架构基建/06_Cloud_Providers,True,18
12_架构基建/Hardware_Compute,12_架构基建/07_Hardware_Compute,True,44
12_架构基建/Networking,12_架构基建/08_Networking,True,18
12_架构基建/Storage,12_架构基建/09_Storage,True,18
12_架构基建/Security,12_架构基建/10_Security,True,19
12_架构基建/AI_Gateway,12_架构基建/11_AI_Gateway,True,81
