old,new,exists,referenced_files,needs_change
13_Agent_Production/23_OpenClaw_Ecosystem,15_Agent_Production/OpenClaw_Ecosystem,True,9,True
13_Agent_Production/16_Agent_Evaluation,15_Agent_Production/Agent_Evaluation,True,136,True
17_AI_Coding/04_Methodology,16_AI_Coding/Methodology,True,9,True
17_AI_Coding/03_Practice,16_AI_Coding/Practice,True,7,True
17_AI_Coding/01_Theory,16_AI_Coding/Theory,True,31,True
17_AI_Coding/02_Tools,16_AI_Coding/Tools,True,65,True
references,_references,True,541,True
synthesis,_synthesis,True,133,True
concepts,_concepts,True,739,True
12_Architecture_Infrastructure,12_Architecture_Infrastructure,True,165,False
20_AI_Applications_Industry,18_AI_Applications_Industry,True,47,True
06_Reinforcement_Learning,06_Reinforcement_Learning,True,101,False
09_Deployment_Inference,10_Deployment_Inference,True,238,True
02_Machine_Learning,02_Machine_Learning,True,120,False
08_Model_Evaluation,08_Model_Evaluation,True,96,False
13_Agent_Production,15_Agent_Production,True,277,True
00_AI_Introduction,00_AI_Introduction,True,96,False
05_Computer_Vision,04_Computer_Vision,True,71,True
07_Model_Training,07_Model_Training,True,122,False
10_MLOps_Pipeline,11_MLOps_Pipeline,True,124,True
03_Deep_Learning,03_Deep_Learning,True,145,False
19_Ethics_Safety,17_Ethics_Safety,True,102,True
01_Fundamentals,01_Fundamentals,True,135,False
11_RAG_Systems,14_RAG_Systems,True,154,True
23_Interviews,21_Interviews,True,105,True
17_AI_Coding,16_AI_Coding,True,99,True
04_NLP_LLMs,05_NLP_LLMs,True,306,True
15_Testing,09_Testing,True,55,True
16_AI_Ops,13_AI_Ops,True,93,True
22_Papers,20_Papers,True,63,True
21_Talks,19_Talks,True,64,True
